ID,NAME,SHIRT_NAME,GK  0,CWP  2,CBT  3,SB  4,DMF  5,WB  6,CMF  7,SMF  8,AMF  9,WF 10,SS  11,CF  12,REGISTERED POSITION,HEIGHT,STRONG FOOT,FAVOURED SIDE,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,ATTACK,DEFENSE,BALANCE,STAMINA,TOP SPEED,ACCELERATION,RESPONSE,AGILITY,DRIBBLE ACCURACY,DRIBBLE SPEED,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,SHOT POWER,SHOT TECHNIQUE,FREE KICK ACCURACY,SWERVE,HEADING,JUMP,TECHNIQUE,AGGRESSION,MENTALITY,GOAL KEEPING,TEAM WORK,CONSISTENCY,CONDITION / FITNESS,DRIBBLING,TACTIAL DRIBBLE,POSITIONING,REACTION,PLAYMAKING,PASSING,SCORING,1-1 SCORING,POST PLAYER,LINES,MIDDLE SHOOTING,SIDE,CENTRE,PENALTIES,1-TOUCH PASS,OUTSIDE,MARKING,SLIDING,COVERING,D-LINE CONTROL,PENALTY STOPPER,1-ON-1 STOPPER,LONG THROW,INJURY TOLERANCE,DRIBBLE STYLE,FREE KICK STYLE,PK STYLE,DROP KICK STYLE,AGE,WEIGHT,NATIONALITY,SKIN COLOR,FACE TYPE,PRESET FACE NUMBER,HEAD WIDTH,NECK LENGTH,NECK WIDTH,SHOULDER HEIGHT,SHOULDER WIDTH,CHEST MEASUREMENT,WAIST CIRCUMFERENCE,ARM CIRCUMFERENCE,LEG CIRCUMFERENCE,CALF CIRCUMFERENCE,LEG LENGTH,WRISTBAND,WRISTBAND COLOR,INTERNATIONAL NUMBER,CLASSIC NUMBER,CLUB TEAM,CLUB NUMBER
1,Tomas,Tomas,1,0,0,0,0,0,0,0,0,0,0,0,0,189,R,R,4,4,28,57,63,46,51,52,64,57,38,37,43,43,45,49,34,59,36,32,35,36,58,39,49,59,58,54,8,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,A,1,1,1,3,17,84,Portugal,1,2,294,-1,1,0,0,0,0,0,0,0,0,0,N,None,12,5,,20
2,Milan Visser,Milan Visser,0,0,1,0,0,0,0,0,0,0,0,0,3,187,R,L,5,5,45,53,57,53,54,52,55,54,48,52,51,51,48,49,43,52,47,44,45,55,52,54,44,49,40,52,6,6,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,B,3,1,1,2,17,89,Netherlands,1,2,358,0,0,0,3,0,0,2,-2,0,0,0,N,None,13,19,Wigan Athletic,14
3,Luis Perez,Luis Perez,0,0,1,0,0,0,0,0,0,0,0,0,3,163,L,R,5,6,39,50,54,49,49,45,46,49,47,50,48,50,49,48,40,50,43,45,44,51,51,47,45,49,38,48,5,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,A,1,9,2,2,17,75,Spain,1,2,275,0,0,0,0,0,0,0,2,0,0,0,N,None,25,10,Spartak Moskva,9
4,Miguel Martinez,Miguel Martinez,0,0,0,1,0,0,0,0,0,0,0,0,4,168,L,R,5,5,46,48,49,56,50,51,47,52,50,49,47,51,52,50,46,50,46,42,45,47,53,52,48,48,38,50,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,B,4,3,2,2,17,85,Mexico,3,2,66,0,0,0,0,0,2,0,0,0,0,0,N,None,15,16,,20
5,Levi,Levi,0,0,0,1,0,0,0,0,0,0,0,0,4,177,R,R,4,4,52,56,63,67,69,61,56,61,56,60,58,56,58,56,54,62,51,53,55,56,63,57,56,56,44,57,5,6,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,A,1,3,4,2,16,73,Netherlands,1,0,6,0,1,0,0,2,3,0,-1,0,0,0,N,None,42,3,Middlesbrough,89
6,Ignacio Perez,Ignacio Perez,0,0,0,0,0,0,1,0,0,0,0,0,7,185,L,R,5,5,52,51,51,59,56,56,54,51,52,50,54,54,51,55,49,55,53,50,52,49,54,53,49,51,39,53,8,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,5,1,2,18,76,Argentina,1,0,171,0,1,0,0,0,-1,0,0,0,0,0,B,White,12,10,,86
7,Fabio Romano,Fabio Romano,0,0,0,0,1,0,0,0,0,0,0,0,5,197,L,R,5,5,51,51,54,62,56,56,63,56,56,54,57,54,55,51,52,67,48,47,53,53,62,55,51,55,38,56,3,5,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,A,1,2,1,1,17,89,Italy,1,0,290,0,0,0,0,0,0,0,0,-3,1,-2,B,Red,3,0,,14
8,Petar Dordevic,Petar Dordevic,0,0,0,0,0,0,0,1,0,0,0,0,8,194,R,R,4,4,53,38,52,57,59,54,54,57,57,56,51,51,52,54,51,53,52,52,50,49,54,54,51,52,39,51,5,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,B,2,4,2,2,16,88,Serbia,1,0,144,0,0,-3,0,1,0,0,0,0,0,0,N,None,32,17,,94
9,Bojan Milosevic,Bojan Milosevic,0,0,0,0,0,0,0,0,1,0,0,0,9,166,R,L,5,5,62,42,61,62,62,62,57,61,67,60,61,61,60,63,60,64,61,59,64,55,58,62,64,59,45,57,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,3,2,2,1,18,91,Serbia,1,0,335,0,0,0,3,0,0,-1,0,0,0,0,B,Black,19,21,,12
10,Lucas Jacobs,Lucas Jacobs,0,0,0,0,0,0,0,0,0,0,0,1,12,164,L,L,5,5,50,30,49,49,53,52,53,49,53,52,48,50,50,47,50,55,52,44,46,47,48,50,49,50,34,50,7,7,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,2,1,3,3,17,90,Belgium,1,0,340,0,0,0,0,0,0,0,0,3,0,0,R,Green,37,8,,82
