scenario,run_id,seed_player_id,season,age,games,goals,assists,weighted_overall,avg_skill,total_skill_change,final_multiplier,profile_name,trait_name,skill_attack,skill_defense,skill_balance,skill_stamina,skill_top_speed,skill_acceleration,skill_response,skill_agility,skill_dribble_accuracy,skill_dribble_speed,skill_short_pass_accuracy,skill_short_pass_speed,skill_long_pass_accuracy,skill_long_pass_speed,skill_shot_accuracy,skill_shot_power,skill_shot_technique,skill_free_kick_accuracy,skill_swerve,skill_heading,skill_jump,skill_technique,skill_aggression,skill_mentality,skill_goal_keeping,skill_team_work
zero,1,147,19,19,0,0,0,74.402,71.692,25,1.9683,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,41,67
low,2,147,19,19,12,1,1,69.402,66.692,25,0.6849,unknown,regular,67,39,60,81,73,73,73,79,80,75,75,70,69,67,66,66,65,62,66,50,69,78,74,59,36,62
zero,3,147,20,20,0,0,0,75.402,72.654,25,1.9683,unknown,regular,73,45,66,87,79,79,79,85,86,81,81,76,75,73,72,72,71,68,72,56,75,84,80,65,41,68
low,4,147,20,20,12,1,1,70.402,67.654,25,0.6898,unknown,regular,68,40,61,82,74,74,74,80,81,76,76,71,70,68,67,67,66,63,67,51,70,79,75,60,36,63
zero,5,147,21,21,0,0,0,76.402,73.615,25,1.9683,unknown,regular,74,46,67,88,80,80,80,86,87,82,82,77,76,74,73,73,72,69,73,57,76,85,81,66,41,69
low,6,147,21,21,12,1,1,71.402,68.615,25,0.6827,unknown,regular,69,41,62,83,75,75,75,81,82,77,77,72,71,69,68,68,67,64,68,52,71,80,76,61,36,64
zero,7,147,22,22,0,0,0,77.402,74.577,25,1.7747,unknown,regular,75,47,68,89,81,81,81,87,88,83,83,78,77,75,74,74,73,70,74,58,77,86,82,67,41,70
low,8,147,22,22,12,1,1,72.402,69.577,25,0.6782,unknown,regular,70,42,63,84,76,76,76,82,83,78,78,73,72,70,69,69,68,65,69,53,72,81,77,62,36,65
zero,9,147,23,23,0,0,0,78.402,75.538,25,1.7747,unknown,regular,76,48,69,90,82,82,82,88,89,84,84,79,78,76,75,75,74,71,75,59,78,87,83,68,41,71
low,10,147,23,23,12,1,1,73.402,70.538,25,0.6843,unknown,regular,71,43,64,85,77,77,77,83,84,79,79,74,73,71,70,70,69,66,70,54,73,82,78,63,36,66
zero,11,147,24,24,0,0,0,79.402,76.5,25,1.5811,unknown,regular,77,49,70,91,83,83,83,89,90,85,85,80,79,77,76,76,75,72,76,60,79,88,84,69,41,72
low,12,147,24,24,12,1,1,74.402,71.5,25,0.6825,unknown,regular,72,44,65,86,78,78,78,84,85,80,80,75,74,72,71,71,70,67,71,55,74,83,79,64,36,67
zero,13,147,25,25,0,0,0,79.795,76.885,10,0.749,unknown,regular,77,50,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,89,84,69,41,72
low,14,147,25,25,12,1,1,74.838,71.923,11,0.3264,unknown,regular,72,45,65,87,79,79,78,85,86,81,81,75,75,72,71,72,70,67,71,55,74,84,79,64,36,67
zero,15,147,26,26,0,0,0,79.841,76.962,2,0.6572,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,16,147,26,26,12,1,1,75.231,72.308,10,0.3234,unknown,regular,72,46,65,88,80,80,78,86,87,81,82,75,76,72,71,73,70,67,71,55,74,85,79,64,36,67
zero,17,147,27,27,0,0,0,79.841,76.962,0,0.6572,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,18,147,27,27,12,1,1,75.581,72.654,9,0.319,unknown,regular,72,47,65,89,81,81,78,86,88,82,83,75,76,72,71,74,70,67,71,55,74,86,79,64,36,67
zero,19,147,28,28,0,0,0,79.841,76.962,0,0.6572,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,20,147,28,28,12,1,1,75.714,72.808,4,0.3247,unknown,regular,72,48,65,89,81,81,78,87,89,82,83,75,76,72,71,74,70,67,71,55,74,87,79,64,36,67
zero,21,147,29,29,0,0,0,79.841,76.962,0,0.6572,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,22,147,29,29,12,1,1,75.759,72.885,2,0.3219,unknown,regular,72,49,65,89,81,81,78,87,89,82,83,75,76,72,71,74,70,67,71,55,74,88,79,64,36,67
zero,23,147,30,30,0,0,0,79.841,76.962,0,0.0,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,24,147,30,30,12,1,1,75.759,72.885,0,0.0,unknown,regular,72,49,65,89,81,81,78,87,89,82,83,75,76,72,71,74,70,67,71,55,74,88,79,64,36,67
zero,25,147,31,31,0,0,0,79.841,76.962,0,0.0,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,26,147,31,31,12,1,1,75.759,72.885,0,0.0,unknown,regular,72,49,65,89,81,81,78,87,89,82,83,75,76,72,71,74,70,67,71,55,74,88,79,64,36,67
zero,27,147,32,32,0,0,0,79.841,76.962,0,0.0,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,28,147,32,32,12,1,1,75.759,72.885,0,0.0,unknown,regular,72,49,65,89,81,81,78,87,89,82,83,75,76,72,71,74,70,67,71,55,74,88,79,64,36,67
zero,29,147,33,33,0,0,0,79.841,76.962,0,0.0,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,30,147,33,33,12,1,1,75.759,72.885,0,0.0,unknown,regular,72,49,65,89,81,81,78,87,89,82,83,75,76,72,71,74,70,67,71,55,74,88,79,64,36,67
zero,31,147,34,34,0,0,0,79.841,76.962,0,-0.5112,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
low,32,147,34,34,12,1,1,75.759,72.885,0,-0.2477,unknown,regular,72,49,65,89,81,81,78,87,89,82,83,75,76,72,71,74,70,67,71,55,74,88,79,64,36,67
zero,33,147,35,35,0,0,0,79.841,76.962,0,-0.5112,unknown,regular,77,51,70,92,84,84,83,90,91,85,86,80,80,77,76,77,75,72,76,60,79,90,84,69,41,72
