scenario,season,pool_count,pool_weighted_overall_mean,pool_weighted_overall_std,pool_avg_skill_mean,pool_avg_skill_std
low,17,2,66.463,3.351,65.212,3.327
low,18,2,67.463,3.351,66.173,3.327
low,19,6,66.679,2.592,65.404,2.565
low,20,6,67.86,2.506,66.538,2.483
low,21,6,68.978,2.477,67.609,2.454
low,22,6,69.965,2.492,68.558,2.468
low,23,6,70.931,2.51,69.487,2.484
low,24,6,71.729,2.257,70.256,2.239
low,25,6,72.242,2.144,70.744,2.127
low,26,6,72.665,2.113,71.147,2.092
low,27,6,72.995,2.173,71.462,2.141
low,28,6,73.049,2.162,71.513,2.127
low,29,6,73.088,2.144,71.551,2.107
low,30,6,73.088,2.144,71.551,2.107
low,31,6,73.088,2.144,71.551,2.107
low,32,6,73.088,2.144,71.551,2.107
low,33,6,73.088,2.144,71.551,2.107
low,34,6,72.523,1.739,71.013,1.724
low,35,6,71.972,1.353,70.487,1.362
medium,17,1,65.112,0.0,63.808,0.0
medium,18,3,68.084,1.02,66.744,1.009
medium,19,6,67.968,2.774,66.615,2.722
medium,20,6,69.751,2.929,68.327,2.858
medium,21,6,70.972,2.888,69.5,2.809
medium,22,6,72.131,2.912,70.615,2.826
medium,23,6,73.061,2.843,71.513,2.761
medium,24,6,73.868,2.685,72.288,2.604
medium,25,6,74.302,2.413,72.705,2.341
medium,26,6,74.451,2.108,72.846,2.052
medium,27,6,74.581,1.872,72.968,1.832
medium,28,6,74.658,1.708,73.038,1.682
medium,29,6,74.708,1.605,73.083,1.586
medium,30,6,74.708,1.605,73.083,1.586
medium,31,6,74.708,1.605,73.083,1.586
medium,32,6,74.708,1.605,73.083,1.586
medium,33,6,74.708,1.605,73.083,1.586
medium,34,6,73.562,1.037,71.987,1.048
medium,35,6,72.43,0.727,70.904,0.738
great,17,3,67.24,0.957,65.962,0.93
great,18,4,69.204,1.338,67.856,1.295
great,19,6,69.346,2.935,67.974,2.868
great,20,6,70.858,2.571,69.423,2.511
great,21,6,71.999,2.313,70.519,2.256
great,22,6,73.132,2.086,71.609,2.03
great,23,6,73.957,1.862,72.404,1.817
great,24,6,74.574,1.469,73.0,1.439
great,25,6,74.916,1.16,73.327,1.138
great,26,6,75.214,1.0,73.609,0.973
great,27,6,75.241,0.998,73.635,0.967
great,28,6,75.241,0.998,73.635,0.967
great,29,6,75.262,0.985,73.654,0.954
great,30,6,75.262,0.985,73.654,0.954
great,31,6,75.262,0.985,73.654,0.954
great,32,6,75.262,0.985,73.654,0.954
great,33,6,75.262,0.985,73.654,0.954
great,34,6,73.978,0.364,72.423,0.342
great,35,6,72.673,0.517,71.173,0.463
starter,17,3,65.421,1.254,64.141,1.28
starter,18,5,67.623,0.773,66.3,0.789
starter,19,6,69.214,0.62,67.853,0.603
starter,20,6,70.538,0.955,69.122,0.895
starter,21,6,71.538,0.955,70.083,0.895
starter,22,6,72.538,0.955,71.045,0.895
starter,23,6,73.538,0.955,72.006,0.895
starter,24,6,74.538,0.955,72.968,0.895
starter,25,6,74.845,0.723,73.256,0.664
starter,26,6,74.967,0.637,73.372,0.557
starter,27,6,74.994,0.626,73.397,0.549
starter,28,6,75.001,0.621,73.404,0.545
starter,29,6,75.007,0.616,73.41,0.542
starter,30,6,75.007,0.616,73.41,0.542
starter,31,6,75.007,0.616,73.41,0.542
starter,32,6,75.007,0.616,73.41,0.542
starter,33,6,75.007,0.616,73.41,0.542
starter,34,6,73.973,0.357,72.423,0.302
starter,35,6,72.987,0.211,71.481,0.192
bench,17,2,66.612,0.5,65.385,0.5
bench,18,6,67.173,1.426,65.91,1.442
bench,19,6,68.451,1.183,67.135,1.204
bench,20,6,69.571,1.021,68.205,1.041
bench,21,6,70.563,1.066,69.154,1.083
bench,22,6,71.369,1.32,69.923,1.324
bench,23,6,72.161,1.618,70.679,1.609
bench,24,6,72.872,1.977,71.359,1.951
bench,25,6,73.143,2.081,71.615,2.037
bench,26,6,73.289,2.158,71.756,2.103
bench,27,6,73.303,2.167,71.769,2.112
bench,28,6,73.303,2.167,71.769,2.112
bench,29,6,73.303,2.167,71.769,2.112
bench,30,6,73.303,2.167,71.769,2.112
bench,31,6,73.303,2.167,71.769,2.112
bench,32,6,73.303,2.167,71.769,2.112
bench,33,6,73.303,2.167,71.769,2.112
bench,34,6,72.799,1.817,71.288,1.78
bench,35,6,72.296,1.527,70.808,1.507
