ID,NAME,SHIRT_NAME,GK  0,CWP  2,CBT  3,SB  4,DMF  5,WB  6,CMF  7,SMF  8,AMF  9,WF 10,SS  11,CF  12,REGISTERED POSITION,HEIGHT,STRONG FOOT,FAVOURED SIDE,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,ATTACK,DEFENSE,BALANCE,STAMINA,TOP SPEED,ACCELERATION,RESPONSE,AGILITY,DRIBBLE ACCURACY,DRIBBLE SPEED,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,SHOT POWER,SHOT TECHNIQUE,FREE KICK ACCURACY,SWERVE,HEADING,JUMP,TECHNIQUE,AGGRESSION,MENTALITY,GOAL KEEPING,TEAM WORK,CONSISTENCY,CONDITION / FITNESS,DRIBBLING,TACTIAL DRIBBLE,POSITIONING,REACTION,PLAYMAKING,PASSING,SCORING,1-1 SCORING,POST PLAYER,LINES,MIDDLE SHOOTING,SIDE,CENTRE,PENALTIES,1-TOUCH PASS,OUTSIDE,MARKING,SLIDING,COVERING,D-LINE CONTROL,PENALTY STOPPER,1-ON-1 STOPPER,LONG THROW,INJURY TOLERANCE,DRIBBLE STYLE,FREE KICK STYLE,PK STYLE,DROP KICK STYLE,AGE,WEIGHT,NATIONALITY,SKIN COLOR,FACE TYPE,PRESET FACE NUMBER,HEAD WIDTH,NECK LENGTH,NECK WIDTH,SHOULDER HEIGHT,SHOULDER WIDTH,CHEST MEASUREMENT,WAIST CIRCUMFERENCE,ARM CIRCUMFERENCE,LEG CIRCUMFERENCE,CALF CIRCUMFERENCE,LEG LENGTH,WRISTBAND,WRISTBAND COLOR,INTERNATIONAL NUMBER,CLASSIC NUMBER,CLUB TEAM,CLUB NUMBER
1,Macho,M  A  C  H  O,1,0,0,0,0,0,0,0,0,0,0,0,0,193,L,B,6,7,30,83,83,63,67,62,89,73,49,55,54,59,57,65,38,75,38,37,43,45,83,52,60,82,81,70,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,1,1,1,1,30,83,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,,1,0,,0
2,Scharner,SCHARNER,0,0,1,1,1,0,1,0,0,0,0,0,3,191,R,R,6,7,64,75,85,82,73,72,72,70,73,70,76,69,73,72,66,79,63,59,54,73,76,73,63,72,50,66,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,27,80,Austria,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,N,,4,0,F.C. Energie Cottbus,18
3,Stranzl,S T R A N Z L,0,0,1,1,0,1,0,1,0,0,0,0,3,190,R,B,6,7,65,75,85,78,75,70,76,70,71,70,73,70,70,67,62,83,67,70,64,76,72,72,67,70,50,77,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,1,1,1,1,27,82,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,,3,0,R.C. Celta,7
4,Dober,D  O  B  E  R,0,0,0,1,0,0,0,0,0,0,0,0,4,183,R,R,6,7,69,62,81,84,79,78,72,75,74,77,68,69,72,71,57,78,59,56,67,67,77,73,76,70,50,75,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,21,76,Austria,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,N,,2,0,,0
5,Pogatetz,POGATETZ,0,0,1,1,0,1,0,0,0,0,0,0,4,187,L,L,6,7,69,66,76,81,76,73,68,72,74,69,71,70,81,82,68,84,63,76,78,69,77,78,68,70,50,68,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,24,82,Austria,1,0,1,0,0,0,1,1,0,0,0,-1,-2,2,N,,5,0,Middlesbrough,12
6,Kiesenebner,KIESENEBNER,0,0,0,0,0,0,1,1,0,0,0,0,7,181,R,R,6,7,67,67,84,85,77,75,77,72,74,75,75,73,74,78,61,83,63,76,74,72,73,73,68,75,50,73,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,28,80,Austria,1,0,1,-3,0,0,0,0,0,0,0,0,0,0,N,,8,0,,0
7,Aufhauser,AUFHAUSER,0,0,0,0,1,0,1,0,0,0,0,0,5,185,R,B,6,7,61,67,82,82,72,71,77,70,73,74,78,74,79,76,69,80,64,75,77,73,73,76,61,74,50,72,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,31,80,Austria,1,0,1,-3,0,0,1,1,0,0,0,-1,-2,2,N,,6,0,,0
8,Schopp,S C H O P P,0,0,0,0,1,1,1,1,0,0,0,0,8,188,R,R,6,7,69,65,79,81,80,71,68,74,76,71,74,76,81,76,68,79,70,76,81,72,72,79,69,71,50,71,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,33,82,Austria,1,0,1,0,0,0,1,1,0,0,0,-1,-2,2,N,,7,0,,0
9,Ivanschitz,IVANSCHITZ,0,0,0,0,0,0,1,1,1,0,0,0,9,183,L,L,6,7,77,55,72,87,81,84,71,77,81,71,83,76,84,85,71,81,66,82,77,68,76,81,67,68,50,70,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,1,2,1,1,24,79,Austria,1,0,1,1,0,0,0,0,0,0,0,0,0,0,N,,10,0,Arsenal,0
10,Linz,L  I  N  Z,0,0,0,0,0,0,0,0,0,0,0,1,12,185,R,B,6,7,77,40,82,83,84,86,77,76,71,78,72,69,64,67,77,79,75,63,59,81,83,74,84,71,50,69,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,26,72,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,,9,0,West Ham United,0
