overall,id,player_name,position_name,registered_position,age,nationality,height,weight,club_id,attack,defense,balance,stamina,top_speed,acceleration,technique,mentality,team_work,consistency
93,1436,Maradona,Unknown,11,25,Argentina,164,70,141,99,20,85,80,88,95,99,78,80,8
93,4499,Schmeichel,Unknown,0,43,Denmark,193,96,141,45,99,94,60,69,75,64,95,78,7
92,300,Buffon,Unknown,0,28,Italy,191,83,41,35,97,88,65,76,82,56,82,76,6
92,1377,Littbarski,Unknown,10,26,Germany,168,64,141,85,47,70,82,88,92,95,77,75,7
91,1044,Ronaldinho,Unknown,11,26,Brazil,181,80,61,94,43,86,84,83,92,98,73,79,7
91,1045,Adriano,Unknown,12,24,Brazil,189,87,63,91,36,97,84,86,90,88,67,68,4
91,1389,Conti,Unknown,10,27,Italy,169,65,141,89,58,76,90,90,94,87,74,74,7
91,1424,Gullit,Unknown,9,26,Netherlands,185,85,141,94,68,94,85,88,95,95,80,93,8
91,1439,Passarella,Unknown,2,25,Argentina,173,71,141,75,96,81,92,75,72,85,97,95,8
91,4553,Boniek,Unknown,11,26,Poland,181,75,141,90,42,83,90,94,93,91,85,86,7
90,93,Cech,Unknown,0,24,Czech Republic,197,87,35,30,93,91,65,67,70,63,75,77,6
90,219,Kahn,Unknown,0,37,Germany,188,91,34,40,96,90,65,60,69,50,95,82,7
90,446,C. Ronaldo,Unknown,10,21,Portugal,184,75,33,78,44,81,82,87,89,91,73,60,3
90,769,Eto'o,Unknown,12,26,Cameroon,180,75,55,93,47,84,90,95,97,84,70,78,6
90,1057,Robinho,Unknown,11,22,Brazil,172,60,54,80,43,70,82,88,87,92,65,75,4
90,1413,Cruyff,Unknown,12,27,Netherlands,180,71,141,98,30,82,87,90,96,97,75,99,8
90,1418,Rijkaard,Unknown,5,26,Netherlands,190,80,141,78,90,96,92,79,82,90,72,90,8
90,1468,Zico,Unknown,9,29,Brazil,172,69,141,92,45,78,86,82,85,94,88,80,8
89,147,J. Cole,Unknown,9,24,England,175,75,35,80,52,73,94,86,86,91,72,75,6
89,195,Henry,Unknown,12,29,France,188,83,40,97,33,82,80,93,96,96,72,82,6
89,302,F. Cannavaro,Unknown,3,33,Italy,176,75,61,60,97,86,85,77,82,76,86,88,7
89,1036,Dida,Unknown,0,33,Brazil,195,83,84,30,95,87,60,67,68,46,77,78,6
89,1046,Ronaldo,Unknown,12,30,Brazil,183,82,63,97,32,88,74,88,95,92,75,70,6
89,1323,Shilton,Unknown,0,36,England,183,81,141,30,96,81,60,68,70,44,90,80,6
89,1415,Van Breukelen,Unknown,0,31,Netherlands,180,78,141,30,93,82,58,69,70,56,85,68,5
89,1458,Pele,Unknown,12,29,Brazil,171,73,141,99,30,78,85,87,90,98,87,72,7
89,2042,Djibril Cissé,Unknown,12,25,France,182,78,33,85,32,88,85,94,93,84,68,65,5
89,2755,Stam,Unknown,3,34,Netherlands,191,91,41,67,93,94,85,84,73,75,76,82,6
89,4488,Ravelli,Unknown,0,31,Sweden,187,82,141,30,96,83,58,69,72,55,78,75,6
89,4515,Chilavert,Unknown,0,41,Paraguay,192,90,141,50,91,93,60,65,62,78,95,83,6
89,4525,M. Laudrup,Unknown,9,28,Denmark,183,75,141,88,52,83,83,84,90,93,80,80,6
88,101,Rosický,Unknown,9,26,Czech Republic,178,65,40,82,59,76,82,85,86,92,70,80,7
88,141,Terry,Unknown,3,25,England,186,87,35,63,94,90,83,75,76,76,85,83,7
88,152,Campbell,Unknown,3,32,England,188,89,33,60,90,95,79,79,73,72,77,78,5
88,160,Rooney,Unknown,11,21,England,178,78,33,85,50,90,90,86,90,90,80,80,6
88,277,Given,Unknown,0,30,Ireland,185,84,55,30,92,82,65,70,72,55,78,75,6
88,297,Duff,Unknown,10,27,Ireland,175,77,55,83,59,73,90,86,91,86,80,83,5
88,311,Peruzzi,Unknown,0,36,Italy,181,83,80,30,91,86,64,76,75,52,83,78,6
88,313,Materazzi,Unknown,3,33,Italy,193,83,34,67,87,91,82,70,68,74,73,77,5
88,346,Van der Sar,Unknown,0,35,Netherlands,198,83,33,30,95,82,65,68,67,63,80,78,6
88,356,Van Nistelrooy,Unknown,12,30,Netherlands,188,80,54,96,38,90,82,84,85,87,78,76,6
88,1033,Messi,Unknown,11,19,Argentina,170,66,8,79,49,81,80,85,90,85,71,75,5
88,1040,Roberto Carlos,Unknown,4,33,Brazil,168,67,33,79,65,75,93,88,86,89,82,82,5
88,1043,Kaka',Unknown,9,24,Brazil,183,73,55,87,54,83,86,88,90,93,74,80,6
88,1357,Cantona,Unknown,12,28,France,188,88,141,92,50,96,77,84,80,95,88,75,8
88,1369,IIlgner,Unknown,0,30,Germany,190,92,141,30,94,90,60,67,68,48,72,74,6
88,1370,Kohler,Unknown,3,25,Germany,186,84,141,55,95,98,91,74,81,73,84,85,6
88,1381,Zoff,Unknown,0,40,Italy,182,78,141,30,97,84,56,63,65,41,97,80,6
88,1401,Donadoni,Unknown,10,27,Italy,173,68,141,86,63,78,88,90,93,86,74,85,6
88,1426,Van Basten,Unknown,12,23,Netherlands,188,80,141,98,42,85,81,83,88,92,72,77,7
88,1438,Fillol,Unknown,0,28,Argentina,183,80,141,30,95,78,65,73,73,57,82,73,6
88,1448,Kempes,Unknown,12,23,Argentina,181,78,141,94,38,83,85,85,94,88,85,83,6
88,1570,Drogba,Unknown,12,28,Cote d'Ivoire,188,84,33,87,50,91,86,85,87,88,68,77,5
88,1574,Wright-Phillips,Unknown,8,25,England,168,64,35,79,49,72,82,92,92,84,71,72,5
88,2471,Toldo,Unknown,0,34,Italy,196,83,63,30,93,93,60,63,60,51,80,75,6
88,2766,Mitea,Unknown,11,21,Romania,172,64,14,73,43,67,76,92,88,85,63,70,4
88,3343,Cassano,Unknown,11,23,Italy,175,81,54,83,28,82,76,86,88,95,73,73,6
88,4450,Eusebio,Unknown,12,23,Portugal,175,73,141,96,55,84,86,93,89,88,78,76,6
88,4507,Stoichkov ,Unknown,12,28,Bulgaria,178,74,141,95,40,81,87,86,92,90,85,65,4
88,4530,Yashin,Unknown,0,34,Russia,184,82,141,30,99,78,56,65,66,55,82,80,7
88,4558,Preud'homme,Unknown,0,30,Belgium,178,75,141,30,95,78,58,67,69,55,78,72,6
87,102,Nedved,Unknown,9,34,Czech Republic,177,70,41,85,60,76,95,82,84,87,90,90,7
87,114,Baros,Unknown,12,24,Czech Republic,184,76,19,83,38,86,84,88,88,85,72,72,3
87,143,Ashley Cole,Unknown,4,25,England,173,67,35,79,69,80,93,90,93,82,83,77,5
87,145,Gerrard,Unknown,7,26,England,186,78,44,84,70,88,85,85,84,83,89,88,7
87,148,Owen,Unknown,12,26,England,173,70,63,91,35,82,80,91,89,85,76,79,6
87,310,Gilardino,Unknown,12,24,Italy,184,79,38,92,35,86,84,86,86,85,78,83,6
87,355,Robben,Unknown,10,22,Netherlands,180,75,8,81,53,79,78,87,90,87,77,75,5
87,469,Mutu,Unknown,11,27,Romania,180,74,37,84,48,79,85,88,90,87,80,75,5
87,610,Cañizares,Unknown,0,36,Spain,181,77,89,30,91,86,60,63,68,52,80,82,7
87,620,Reyes,Unknown,11,23,Spain,175,71,54,80,45,73,84,86,92,84,68,72,5
87,621,Joaquin,Unknown,10,25,Spain,179,75,89,83,47,82,83,89,91,85,71,76,5
87,676,Emre,Unknown,9,26,Turkey,171,80,47,77,52,78,87,85,88,87,80,62,4
87,700,Shevchenko,Unknown,11,30,Ukraine,183,72,35,97,42,88,88,86,94,86,87,87,7
87,838,Martins,Unknown,12,21,Nigeria,170,70,61,78,40,82,85,99,99,80,66,67,4
87,1031,Aimar,Unknown,9,26,Argentina,170,62,118,82,45,72,78,85,86,92,73,77,7
87,1037,Lúcio,Unknown,3,28,Brazil,188,84,40,75,88,91,85,80,75,80,75,77,6
87,1148,Cuevas,Unknown,11,26,Paraguay,172,63,61,78,30,71,77,91,92,85,63,62,4
87,1312,Banks,Unknown,0,28,England,185,85,141,30,98,83,60,67,68,43,82,75,5
87,1324,Seaman,Unknown,0,28,England,191,93,141,30,95,88,57,64,65,54,83,74,5
87,1325,Adams,Unknown,3,30,England,191,83,141,57,93,90,85,73,71,67,92,82,5
87,1342,Giresse,Unknown,9,31,France,163,60,141,84,65,74,85,78,84,92,75,88,7
87,1383,Bergomi,Unknown,3,26,Italy,184,74,141,63,96,85,82,74,76,70,84,85,7
87,1394,Vayengoddo,Unknown,3,31,Italy,179,75,141,64,96,88,83,73,72,75,85,88,7
87,1411,Neeskens,Unknown,9,22,Netherlands,175,78,141,84,65,75,98,82,83,84,87,88,7
87,1428,Oscar Ruggeri,Unknown,3,24,Argentina,183,82,141,65,95,86,84,80,78,77,90,75,6
87,1446,Bertoni,Unknown,9,24,Argentina,179,76,141,83,52,78,86,85,88,94,77,70,6
87,1449,Batistuta,Unknown,12,30,Argentina,185,73,141,98,24,90,78,80,82,82,87,71,7
87,1457,Rivelino,Unknown,9,28,Brazil,169,73,141,91,53,72,76,77,81,95,78,85,8
87,1461,Tafferel,Unknown,0,28,Brazil,180,74,141,30,95,83,64,67,68,60,76,62,6
87,1543,Anelka,Unknown,12,27,France,185,82,56,85,35,84,81,88,88,88,68,67,4
87,1598,Niemi,Unknown,0,34,Finland,185,83,45,30,92,84,63,65,59,56,75,82,5
