NAME,REGISTERED POSITION,HEIGHT,ATTACK,DEFENSE,BALANCE,STAMINA,TOP SPEED,ACCELERATION,RESPONSE,AGILITY,DRIBBLE ACCURACY,DRIBBLE SPEED,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,SHOT POWER,SHOT TECHNIQUE,FREE KICK ACCURACY,SWERVE,HEADING,JUMP,TECHNIQUE,AGGRESSION,MENTALITY,GOAL KEEPING,TEAM WORK,CONSISTENCY,CONDITION / FITNESS,DRIBBLING,TACTIAL DRIBBLE,POSITIONING,REACTION,PLAYMAKING,PASSING,SCORING,1-1 SCORING,POST PLAYER,LINES,MIDDLE SHOOTING,SIDE,CENTRE,PENALTIES,1-TOUCH PASS,OUTSIDE,MARKING,SLIDING,COVERING,D-LINE CONTROL,PENALTY STOPPER,1-ON-1 STOPPER,LONG THROW,INJURY TOLERANCE,AGE,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,ID,CLUB TEAM,Market Value,Salary,Contract Years Remaining,Yearly Wage Raise
Macrobitch,0,193,30,83,83,63,67,62,89,73,49,55,54,59,57,65,38,75,38,37,43,45,83,52,60,82,81,70,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,29,4,4,1,No Club,0,2333000,4,0.0
Scharner,3,191,62,74,84,81,72,71,70,68,72,69,75,68,72,71,65,78,62,57,52,72,74,72,62,70,50,65,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,26,5,5,2,Wigan Athletic,4485444,2583000,3,0.035
Stranzl,3,190,65,75,85,78,75,70,76,70,71,70,73,70,70,67,62,83,67,70,64,76,72,72,67,70,50,77,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,26,5,6,3,Spartak Moskva,5602807,2278000,4,0.03
Dober,4,183,68,60,80,83,78,77,70,73,73,76,66,68,70,70,55,77,57,54,66,65,76,72,75,68,50,74,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,20,5,5,4,No Club,0,2082000,2,0.037
Pogatetz,4,187,68,65,75,80,75,72,67,71,74,68,70,69,81,81,67,84,62,75,77,68,76,78,67,69,50,67,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,23,4,4,5,Middlesbrough,8104200,3298000,3,0.021
Kiesenebner,7,181,66,66,83,84,76,74,76,71,73,74,74,72,73,77,60,83,62,75,73,71,72,72,67,74,50,72,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,27,5,5,6,No Club,0,3351000,4,0.008
Aufhauser,5,185,61,67,82,82,72,71,77,70,73,74,78,74,79,76,69,80,64,75,77,73,73,76,61,74,50,72,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,30,5,5,7,No Club,0,2749000,4,0.046
Schopp,8,188,70,66,81,83,82,72,70,75,77,72,75,77,82,78,69,80,72,77,82,73,73,81,70,72,50,72,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,32,4,4,8,No Club,0,4075000,2,0.044
Ivanschitz,9,183,76,52,71,86,80,83,69,75,80,70,82,75,83,84,69,80,65,81,76,67,75,80,65,67,50,68,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,23,5,5,9,No Club,0,6223000,5,0.031
Linz,12,185,76,38,81,82,83,86,76,75,70,77,71,68,63,66,76,78,74,62,58,80,83,73,83,70,50,68,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,25,5,5,10,No Club,0,3686000,3,0.018
