ID,NAME,SHIRT_NAME,GK  0,CWP  2,CBT  3,SB  4,DMF  5,WB  6,CMF  7,SMF  8,AMF  9,WF 10,SS  11,CF  12,REGISTERED POSITION,HEIGHT,STRONG FOOT,FAVOURED SIDE,WEAK FOOT ACCURACY,WEAK FOOT FREQUENCY,ATTACK,DEFENSE,BALANCE,STAMINA,TOP SPEED,ACCELERATION,RESPONSE,AGILITY,DRIBBLE ACCURACY,DRIBBLE SPEED,SHORT PASS ACCURACY,SHORT PASS SPEED,LONG PASS ACCURACY,LONG PASS SPEED,SHOT ACCURACY,SHOT POWER,SHOT TECHNIQUE,FREE KICK ACCURACY,SWERVE,HEADING,JUMP,TECHNIQUE,AGGRESSION,MENTALITY,GOAL KEEPING,TEAM WORK,CONSISTENCY,CONDITION / FITNESS,DRIBBLING,TACTIAL DRIBBLE,POSITIONING,REACTION,PLAYMAKING,PASSING,SCORING,1-1 SCORING,POST PLAYER,LINES,MIDDLE SHOOTING,SIDE,CENTRE,PENALTIES,1-TOUCH PASS,OUTSIDE,MARKING,SLIDING,COVERING,D-LINE CONTROL,PENALTY STOPPER,1-ON-1 STOPPER,LONG THROW,INJURY TOLERANCE,DRIBBLE STYLE,FREE KICK STYLE,PK STYLE,DROP KICK STYLE,AGE,WEIGHT,NATIONALITY,SKIN COLOR,FACE TYPE,PRESET FACE NUMBER,HEAD WIDTH,NECK LENGTH,NECK WIDTH,SHOULDER HEIGHT,SHOULDER WIDTH,CHEST MEASUREMENT,WAIST CIRCUMFERENCE,ARM CIRCUMFERENCE,LEG CIRCUMFERENCE,CALF CIRCUMFERENCE,LEG LENGTH,WRISTBAND,WRISTBAND COLOR,INTERNATIONAL NUMBER,CLASSIC NUMBER,CLUB TEAM,CLUB NUMBER
1,Macho,M  A  C  H  O,1,0,0,0,0,0,0,0,0,0,0,0,0,193,L,B,4,4,30,83,83,63,67,62,89,73,49,55,54,59,57,65,38,75,38,37,43,45,83,52,60,82,81,70,5,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,B,1,1,1,1,31,83,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,,1,0,A.C. Milan,0
2,Scharner,DOUBLE,0,0,1,1,1,0,1,0,0,0,0,0,3,191,R,R,5,5,67,76,86,83,74,74,74,72,75,71,77,70,75,74,68,80,65,60,57,75,77,75,65,73,50,68,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,28,80,Austria,1,0,1,-1,0,0,0,0,0,0,0,0,0,0,N,,4,0,F.C. Energie Cottbus,18
3,Stranzl,S T R A N Z L,0,0,1,1,0,1,0,1,0,0,0,0,3,190,R,B,5,6,65,75,85,78,75,70,76,70,71,70,73,70,70,67,62,83,67,70,64,76,72,72,67,70,50,77,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,A,1,1,1,1,28,82,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,,3,0,,7
4,Dober,D  O  B  E  R,0,0,0,1,0,0,0,0,0,0,0,0,4,183,R,R,5,5,70,63,81,84,79,79,73,76,75,78,69,70,73,72,58,79,60,57,68,68,78,73,77,71,50,75,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,22,76,Austria,1,0,1,-2,0,0,0,0,0,0,0,0,0,0,N,,2,0,R. Betis,0
5,Pogatetz,POGATETZ,0,0,1,1,0,1,0,0,0,0,0,0,4,187,L,L,4,4,70,68,77,82,77,74,69,73,75,70,72,71,82,83,70,85,64,77,79,70,78,79,69,71,50,69,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,25,82,Austria,1,0,1,0,0,0,1,1,0,0,0,-1,-2,2,N,,5,0,Sheffield United,12
6,Kiesenebner,KIESENEBNER,0,0,0,0,0,0,1,1,0,0,0,0,7,181,R,R,5,5,66,66,83,84,76,74,76,71,73,74,74,72,73,77,60,82,62,75,73,71,72,72,67,74,50,72,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,29,80,Austria,1,0,1,-3,0,0,0,0,0,0,0,0,0,0,N,,8,0,Ascoli,0
7,Aufhauser,AUFHAUSER,0,0,0,0,1,0,1,0,0,0,0,0,5,185,R,B,5,5,61,67,82,82,72,71,77,70,73,74,78,74,79,76,69,80,64,75,77,73,73,76,61,74,50,72,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,32,80,Austria,1,0,1,-3,0,0,1,1,0,0,0,-1,-2,2,N,,6,0,NAC Breda,0
8,Schopp,S C H O P P,0,0,0,0,1,1,1,1,0,0,0,0,8,188,R,R,4,4,68,64,78,80,79,70,67,73,75,70,73,75,80,75,67,78,69,75,80,71,71,78,68,70,50,70,6,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,34,82,Austria,1,0,1,0,0,0,1,1,0,0,0,-1,-2,2,N,,7,0,,0
9,Ivanschitz,IVANSCHITZ,0,0,0,0,0,0,1,1,1,0,0,0,9,183,L,L,5,5,78,58,73,88,82,85,73,78,82,72,84,77,85,86,72,82,67,83,78,70,77,82,69,69,50,71,5,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,A,1,2,1,1,25,79,Austria,1,0,1,1,0,0,0,0,0,0,0,0,0,0,N,,10,0,Arsenal,0
10,Linz,L  I  N  Z,0,0,0,0,0,0,0,0,0,0,0,1,12,185,R,B,5,5,78,42,83,84,85,86,78,77,72,79,73,70,65,68,78,80,76,64,60,82,83,75,84,72,50,70,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,A,1,1,1,1,27,72,Austria,1,0,1,0,0,0,0,0,0,0,0,0,0,0,N,,9,0,R. Racing C.,0
