steam_id,club_name,player_count,total_market_value,total_salaries,avg_market_value,avg_salary,youngest_player,oldest_player,avg_age,youth_players,young_players,prime_players,veteran_players,old_players
61,F.C. Barcelona,27,690635457,262353000,25579091.0,9716777.777777778,20,35,28.074074074074073,0,8,11,8,0
33,Manchester United,24,650381090,182794000,27099212.083333332,7616416.666666667,19,37,27.5,1,10,5,7,1
35,Chelsea,25,636524259,154021500,25460970.36,6160860.0,17,33,24.0,6,10,7,2,0
63,Inter,24,490638996,179756000,20443291.5,7489833.333333333,24,34,28.916666666666668,0,6,8,10,0
40,Arsenal,20,485096850,123703000,24254842.5,6185150.0,17,36,25.5,3,8,7,1,1
55,Newcastle United,23,454925135,144766000,19779353.695652176,6294173.9130434785,23,31,26.82608695652174,0,8,12,3,0
54,R. Madrid,24,454740847,106870000,18947535.291666668,4452916.666666667,18,31,24.416666666666668,2,15,6,1,0
44,Liverpool,28,415856425,99843500,14852015.17857143,3565839.285714286,18,31,24.035714285714285,3,14,10,1,0
38,A.C. Milan,23,398322119,153353000,17318353.0,6667521.739130435,23,40,28.434782608695652,0,7,10,4,2
13,Hamburger S.V.,29,386637875,70019000,13332340.51724138,2414448.275862069,17,34,23.862068965517242,2,18,8,1,0
8,PSV Eindhoven,24,385484872,98547500,16061869.666666666,4106145.8333333335,18,32,23.833333333333332,2,15,5,2,0
41,Juventus,25,380329939,146459000,15213197.56,5858360.0,18,36,28.04,2,4,12,6,1
5,Bayern München,29,377190518,89172500,13006569.586206896,3074913.793103448,17,39,24.862068965517242,5,10,11,2,1
79,A.S. Roma,28,351002432,82830000,12535801.142857144,2958214.285714286,17,32,24.357142857142858,4,10,12,2,0
53,Tottenham Hotspur,27,330478078,64618000,12239928.814814815,2393259.2592592593,19,32,24.074074074074073,4,13,9,1,0
14,Ajax,26,324338313,91051500,12474550.5,3501980.769230769,19,33,26.192307692307693,2,10,7,7,0
20,C. Atlético Madrid,28,312589661,62543000,11163916.464285715,2233678.5714285714,18,31,23.785714285714285,2,17,8,1,0
70,Benfica,31,295094057,73735500,9519163.129032258,2378564.5161290322,19,30,25.387096774193548,1,14,16,0,0
91,FC Porto,27,285137127,55720500,10560634.333333334,2063722.2222222222,18,31,24.296296296296298,2,16,8,1,0
64,Olympique de Marseille,30,285089129,58970000,9502970.966666667,1965666.6666666667,18,34,24.8,2,18,6,4,0
89,Valencia C.F.,22,282430904,106811500,12837768.363636363,4855068.181818182,19,36,26.772727272727273,1,8,9,3,1
47,Sevilla F.C.,27,279768806,70369000,10361807.629629629,2606259.2592592593,20,33,26.22222222222222,0,10,13,4,0
60,FC Nantes-Atlantique,29,271812688,52709000,9372851.310344828,1817551.7241379311,18,31,23.724137931034484,5,15,8,1,0
3,Middlesbrough,31,269557137,59269000,8695391.516129032,1911903.2258064516,17,34,24.129032258064516,6,14,5,6,0
118,R. Zaragoza,24,265836424,64359500,11076517.666666666,2681645.8333333335,19,35,25.875,2,10,7,5,0
101,Stade Rennais FC,26,262883521,48588000,10110904.653846154,1868769.2307692308,18,34,23.53846153846154,1,17,7,1,0
100,Villarreal C.F.,26,261420345,59322000,10054628.653846154,2281615.3846153845,19,33,25.307692307692307,4,10,5,7,0
52,Schalke 04,24,255310331,59291000,10637930.458333334,2470458.3333333335,18,32,24.708333333333332,5,9,7,3,0
49,VFB Stuttgart,27,254069692,55888500,9409988.592592593,2069944.4444444445,18,35,24.85185185185185,5,11,7,4,0
66,Borussia Dortmund,26,253215556,49842500,9739059.846153846,1917019.2307692308,17,37,23.96153846153846,5,13,5,2,1
67,R. Betis,28,251887736,58049500,8995990.57142857,2073196.4285714286,20,35,26.0,0,13,13,2,0
25,Bayer Leverkusen,26,249454632,59270500,9594408.923076924,2279634.6153846155,18,34,24.46153846153846,4,12,6,4,0
27,Werder Bremen,23,247032542,57033000,10740545.304347826,2479695.652173913,19,37,25.08695652173913,1,10,10,1,1
6,Anderlecht,27,245113362,47451000,9078272.666666666,1757444.4444444445,17,36,23.48148148148148,7,13,4,2,1
31,AS Monaco,29,241975702,59814000,8343989.724137931,2062551.7241379311,18,36,25.20689655172414,6,9,11,2,1
85,Dynamo Kiev,31,241333704,61574000,7784958.193548387,1986258.064516129,19,33,25.967741935483872,1,13,10,7,0
46,Celtic,26,239810461,56358500,9223479.26923077,2167634.6153846155,19,35,25.076923076923077,3,11,10,2,0
19,Aston Villa,24,233866512,54275500,9744438.0,2261479.1666666665,18,33,24.833333333333332,3,11,8,2,0
11,Borussia M.,28,233669729,48310000,8345347.464285715,1725357.142857143,17,36,24.285714285714285,4,13,8,2,1
21,Shakhtar Donetsk,26,233446742,48673500,8978720.846153846,1872057.6923076923,19,34,25.03846153846154,1,13,10,2,0
36,Paris Saint-Germain,28,231480252,53542500,8267151.857142857,1912232.142857143,17,33,24.75,2,12,12,2,0
88,Sporting Lisbon,27,231160990,51886000,8561518.148148147,1921703.7037037036,17,33,24.48148148148148,5,8,11,3,0
37,Fiorentina,23,230845199,55936500,10036747.782608695,2432021.7391304346,18,32,24.608695652173914,3,11,7,2,0
96,Fenerbahçe,26,229151493,55504000,8813518.961538462,2134769.230769231,19,32,25.03846153846154,1,15,9,1,0
78,Blackburn Rovers,33,222843665,60852500,6752838.333333333,1844015.1515151516,18,36,26.03030303030303,3,15,7,7,1
98,T.V.S. Alemannia Aachen,28,220591333,48673500,7878261.892857143,1738339.2857142857,17,35,25.0,2,15,10,1,0
23,Hertha Berliner S.C.,26,218589783,45003000,8407299.346153846,1730884.6153846155,18,32,24.76923076923077,4,10,7,5,0
48,Charlton Athletic,26,215900242,52580000,8303855.461538462,2022307.6923076923,18,33,25.423076923076923,3,9,11,3,0
43,AS Saint-Étienne,28,215845593,45026500,7708771.178571428,1608089.2857142857,19,32,24.75,2,13,11,2,0
138,Athletic Club,26,212416771,47384500,8169875.807692308,1822480.7692307692,18,30,24.423076923076923,3,10,13,0,0
56,Bolton Wanderers,27,211790838,56420500,7844105.111111111,2089648.148148148,18,36,25.703703703703702,5,9,5,7,1
4,Club Brugge,30,211341320,45342000,7044710.666666667,1511400.0,18,33,24.633333333333333,5,13,10,2,0
30,Galatasaray,30,210987178,51524500,7032905.933333334,1717483.3333333333,18,35,25.266666666666666,7,8,10,5,0
102,Toulouse FC,26,209031278,39012500,8039664.538461538,1500480.7692307692,18,35,23.423076923076923,3,16,5,2,0
45,Fulham,26,208035104,57196000,8001350.153846154,2199846.153846154,18,37,26.692307692307693,2,8,10,5,1
58,Birmingham City,25,207547290,41897000,8301891.6,1675880.0,18,35,24.52,5,9,8,3,0
108,OGC Nice,26,205851718,39893500,7917373.769230769,1534365.3846153845,18,34,24.307692307692307,3,12,9,2,0
105,R.C.D. Espanyol,26,204713863,52924500,7873610.115384615,2035557.6923076923,20,31,25.192307692307693,0,16,8,2,0
82,Palermo,22,204599605,44476500,9299982.045454545,2021659.0909090908,17,34,24.59090909090909,2,13,6,1,0
2,Spartak Moskva,24,204490262,38535000,8520427.583333334,1605625.0,18,30,23.75,3,12,9,0,0
69,R.C.D. Mallorca,25,203629346,46646000,8145173.84,1865840.0,19,35,25.72,1,11,10,3,0
90,Everton,25,202317954,50734500,8092718.16,2029380.0,18,36,25.96,4,7,9,4,1
15,Feyenoord,26,202117743,42921000,7773759.346153846,1650807.6923076923,19,39,25.23076923076923,3,14,3,4,2
68,Eintracht Frankfurt,29,200329390,49946500,6907910.0,1722293.103448276,19,37,25.620689655172413,1,13,10,4,1
12,SC Heerenveen,28,199793394,34076000,7135478.357142857,1217000.0,19,36,22.821428571428573,9,15,3,0,1
10,AJ Auxerre,28,198907105,41835500,7103825.178571428,1494125.0,17,34,25.107142857142858,1,17,7,3,0
103,Lille OSC,29,197564796,46697000,6812579.172413793,1610241.3793103448,19,34,24.655172413793103,1,20,5,3,0
104,Besiktas,26,196432236,42684500,7555086.0,1641711.5384615385,17,32,24.384615384615383,5,10,10,1,0
119,R.C. Deportivo la Coruña,29,196300628,45925500,6768987.172413793,1583637.9310344828,18,34,25.517241379310345,3,11,13,2,0
87,Chievo Verona,30,194839311,55164000,6494643.7,1838800.0,19,35,27.266666666666666,2,9,10,9,0
32,Panathinaikos,30,193003176,51315500,6433439.2,1710516.6666666667,18,36,26.1,1,12,15,1,1
92,R.C. Celta,26,192357142,49371500,7398351.615384615,1898903.8461538462,19,33,25.76923076923077,1,11,12,2,0
26,Portsmouth,23,191665939,49970500,8333301.695652174,2172630.434782609,18,36,26.434782608695652,2,8,8,3,2
72,Reading,30,190037737,38387000,6334591.233333333,1279566.6666666667,18,34,24.533333333333335,4,16,5,5,0
139,R. Racing C.,30,188500422,46632500,6283347.4,1554416.6666666667,18,37,25.8,1,16,7,5,1
99,Parma,28,187491582,45502500,6696127.928571428,1625089.2857142857,18,37,25.214285714285715,4,9,12,2,1
107,Le Mans UC 72,25,184312167,32002500,7372486.68,1280100.0,19,32,23.24,1,18,4,2,0
111,Girondins de Bordeaux,26,182808886,44325500,7031111.0,1704826.923076923,18,35,25.03846153846154,3,14,2,7,0
110,F.S.V. Mainz 05,26,181580416,38969500,6983862.153846154,1498826.923076923,17,32,25.23076923076923,1,13,9,3,0
28,Olympiacos Piraeus,29,180772348,53183000,6233529.24137931,1833896.551724138,17,35,27.06896551724138,4,7,9,9,0
109,RC Lens,26,180743812,37908500,6951685.076923077,1458019.2307692308,17,33,24.576923076923077,4,11,9,2,0
1,Wigan Athletic,28,180369235,45959500,6441758.392857143,1641410.7142857143,18,36,26.642857142857142,2,10,12,2,2
17,FC Utrecht,24,179903845,39981500,7495993.541666667,1665895.8333333333,18,31,24.541666666666668,1,12,10,1,0
80,Lazio,26,178837143,54206500,6878351.653846154,2084865.3846153845,18,42,27.76923076923077,1,8,11,4,2
39,F.C. Nurnberg,26,177677029,44020500,6833731.884615385,1693096.1538461538,19,33,25.192307692307693,2,15,6,3,0
