team_id,club_name,registered_position,position_count,position_market_value,position_salaries
38,A.C. Milan,0,2,7088313,3014000
38,A.C. Milan,11,2,87938794,37530000
38,A.C. Milan,12,3,89554274,22869000
38,A.C. Milan,3,5,46436817,43444000
38,A.C. Milan,4,3,24764634,6889000
38,A.C. Milan,5,3,81101700,18882000
38,A.C. Milan,7,4,48921262,12493000
38,A.C. Milan,9,1,12516325,8232000
79,A.S. Roma,0,4,17722174,4344000
79,A.S. Roma,12,4,63990020,20828500
79,A.S. Roma,2,1,19848461,3546500
79,A.S. Roma,3,4,68672239,15557500
79,A.S. Roma,4,3,24150416,7462000
79,A.S. Roma,5,2,13916253,1490500
79,A.S. Roma,7,6,87186722,19605000
79,A.S. Roma,8,2,17557092,3345500
79,A.S. Roma,9,2,37959055,6650500
59,ADO Den Haag,0,3,8947831,1878000
59,ADO Den Haag,10,2,16305602,1977000
59,ADO Den Haag,12,2,12494879,2706000
59,ADO Den Haag,3,4,20259143,2986000
59,ADO Den Haag,4,6,35127670,7456000
59,ADO Den Haag,7,4,19925969,3792500
59,ADO Den Haag,8,2,8517310,2700500
59,ADO Den Haag,9,1,5649000,1753500
10,AJ Auxerre,0,4,6280312,3157000
10,AJ Auxerre,10,1,6368674,1136500
10,AJ Auxerre,11,1,15396518,3335500
10,AJ Auxerre,12,4,29066932,6435000
10,AJ Auxerre,3,6,36182747,8580500
10,AJ Auxerre,4,4,23349737,4676500
10,AJ Auxerre,5,3,28920152,5293500
10,AJ Auxerre,7,1,11730336,2492500
10,AJ Auxerre,8,3,26611358,4637500
10,AJ Auxerre,9,1,15000339,2091000
31,AS Monaco,0,3,5838313,3358500
31,AS Monaco,12,6,66415215,15537500
31,AS Monaco,3,5,40133818,9138500
31,AS Monaco,4,3,14041080,4097500
31,AS Monaco,5,6,54746887,17052000
31,AS Monaco,7,1,8232235,1776500
31,AS Monaco,8,3,33496039,4604000
31,AS Monaco,9,2,19072115,4249500
133,AS Nancy-Lorraine,0,3,7064504,1458500
133,AS Nancy-Lorraine,10,1,15086636,1397500
133,AS Nancy-Lorraine,12,5,30080069,5361500
133,AS Nancy-Lorraine,3,4,21535079,5071500
133,AS Nancy-Lorraine,4,7,38320007,7242500
133,AS Nancy-Lorraine,5,4,23755285,3952500
133,AS Nancy-Lorraine,7,1,11433486,1600500
133,AS Nancy-Lorraine,8,4,19590451,4155500
43,AS Saint-Étienne,0,3,8580920,1915000
43,AS Saint-Étienne,11,1,8664000,3380000
43,AS Saint-Étienne,12,4,41367253,9105000
43,AS Saint-Étienne,3,7,37290483,8672000
43,AS Saint-Étienne,4,3,23213490,4281000
43,AS Saint-Étienne,5,1,6924959,1388500
43,AS Saint-Étienne,7,2,13811563,2931500
43,AS Saint-Étienne,8,6,64024693,11450500
43,AS Saint-Étienne,9,1,11968232,1903000
29,AZ,0,4,10356406,2305500
29,AZ,10,3,18410868,7795500
29,AZ,12,3,22331540,3463500
29,AZ,3,4,24379366,4214500
29,AZ,4,5,25169259,6604500
29,AZ,5,2,13361046,1754000
29,AZ,7,4,33451822,5124000
29,AZ,8,3,16920112,3386500
14,Ajax,0,3,12554790,7033500
14,Ajax,11,4,89268448,25640000
14,Ajax,12,2,19683769,6484000
14,Ajax,2,1,0,3226000
14,Ajax,3,5,39069101,11602500
14,Ajax,4,4,42056762,7702000
14,Ajax,5,2,19119841,3481500
14,Ajax,7,2,59175884,11545000
14,Ajax,8,2,25451813,12702500
14,Ajax,9,1,17957905,1634500
6,Anderlecht,0,3,9284177,2511000
6,Anderlecht,11,1,12623780,2041000
6,Anderlecht,12,6,56254651,11401500
6,Anderlecht,3,5,40140424,4961500
6,Anderlecht,4,4,41670271,7732500
6,Anderlecht,5,2,6779368,3764500
6,Anderlecht,7,2,24106857,5180500
6,Anderlecht,8,2,22732157,2482500
6,Anderlecht,9,2,31521677,7376000
40,Arsenal,0,2,2515808,5461500
40,Arsenal,10,1,31578087,3140000
40,Arsenal,11,1,33147459,5596500
40,Arsenal,12,2,121640372,35233000
40,Arsenal,3,4,70390206,19290000
40,Arsenal,4,3,40724023,5659500
40,Arsenal,5,1,12590999,1663500
40,Arsenal,7,1,11541080,4104500
40,Arsenal,8,1,8568000,3181500
40,Arsenal,9,4,152400816,40373000
22,Ascoli,0,2,3847671,880000
22,Ascoli,10,1,7283832,1132000
22,Ascoli,12,2,11984653,2126000
22,Ascoli,3,6,15850690,10964000
22,Ascoli,4,4,19390729,4541500
22,Ascoli,5,1,6791343,1074500
22,Ascoli,7,5,20836826,7070000
22,Ascoli,8,3,13339936,3689500
19,Aston Villa,0,3,12319886,3238000
19,Aston Villa,12,5,59837644,14105000
19,Aston Villa,3,4,30798557,6777000
19,Aston Villa,4,4,46325650,14844500
19,Aston Villa,5,3,27724585,5547500
19,Aston Villa,7,3,34269097,5890000
19,Aston Villa,8,2,22591093,3873500
114,Atalanta,0,3,4905520,1678500
114,Atalanta,10,1,6852338,1576500
114,Atalanta,12,5,28556185,7314000
114,Atalanta,3,6,41258861,7089500
114,Atalanta,4,3,17808516,4835000
114,Atalanta,5,4,20701452,6049500
114,Atalanta,7,2,10674025,2390500
114,Atalanta,8,3,12737155,3078500
114,Atalanta,9,1,3105132,3906500
138,Athletic Club,0,4,8818062,2403500
138,Athletic Club,11,3,46186595,11378500
138,Athletic Club,12,2,22974945,4664500
138,Athletic Club,3,4,20945868,4802500
138,Athletic Club,4,5,30021583,5577000
138,Athletic Club,5,3,26752386,7379000
138,Athletic Club,7,2,15183659,2315000
138,Athletic Club,8,3,41533673,8864500
25,Bayer Leverkusen,0,3,11364533,3456500
25,Bayer Leverkusen,11,1,19462198,4987500
25,Bayer Leverkusen,12,3,28627982,3390000
25,Bayer Leverkusen,3,5,37013487,8092000
25,Bayer Leverkusen,4,5,41805464,8788000
25,Bayer Leverkusen,5,3,37568742,9389500
25,Bayer Leverkusen,8,2,18263909,8102000
25,Bayer Leverkusen,9,4,55348317,13065000
5,Bayern München,0,3,8705640,1790500
5,Bayern München,11,3,51616488,11479000
5,Bayern München,12,4,50839144,15407500
5,Bayern München,3,4,46213990,8913000
5,Bayern München,4,4,37233539,7342000
5,Bayern München,5,2,17244575,2820000
